"year","units","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
1750,"GtCO2e",0.032112612232593,0.033033,0.75051,NA,NA
1751,"GtCO2e",0.032112622390993,0.033579,0.7533,NA,NA
1752,"GtCO2e",0.032112631834833,0.033852,0.75609,NA,NA
1753,"GtCO2e",0.032112641278673,0.034125,0.75609,NA,NA
1754,"GtCO2e",0.032112650722513,0.034398,0.75888,NA,NA
1755,"GtCO2e",0.032112660166353,0.034944,0.76167,NA,NA
1756,"GtCO2e",0.032112669610193,0.035217,0.76446,NA,NA
1757,"GtCO2e",0.032112679055153,0.03549,0.76446,NA,NA
1758,"GtCO2e",0.032112688498993,0.035763,0.76725,NA,NA
1759,"GtCO2e",0.032112697942833,0.036309,0.77004,NA,NA
1760,"GtCO2e",0.032112707386673,0.036582,0.77283,NA,NA
1761,"GtCO2e",0.032112716830513,0.036855,0.77283,NA,NA
1762,"GtCO2e",0.032112726274353,0.037401,0.77562,NA,NA
1763,"GtCO2e",0.032112735718193,0.037674,0.77841,NA,NA
1764,"GtCO2e",0.032112745162033,0.037947,0.77841,NA,NA
1765,"GtCO2e",0.032112754605873,0.03822,0.7812,NA,NA
1766,"GtCO2e",0.032112764049713,0.038766,0.78399,NA,NA
1767,"GtCO2e",0.032112773493553,0.039039,0.78678,NA,NA
1768,"GtCO2e",0.032112782937393,0.039312,0.78678,NA,NA
1769,"GtCO2e",0.032112792381233,0.039858,0.78957,NA,NA
1770,"GtCO2e",0.032112801825073,0.040131,0.79236,NA,NA
1771,"GtCO2e",0.032112811268913,0.040404,0.79794,NA,NA
1772,"GtCO2e",0.032112820712753,0.04095,0.80352,NA,NA
1773,"GtCO2e",0.032112830156593,0.041223,0.8091,NA,NA
1774,"GtCO2e",0.032112839601553,0.041769,0.81747,NA,NA
1775,"GtCO2e",0.032112849045393,0.042315,0.82305,NA,NA
1776,"GtCO2e",0.032112858489233,0.042588,0.82863,NA,NA
1777,"GtCO2e",0.032112867933073,0.043134,0.83421,NA,NA
1778,"GtCO2e",0.032112877376913,0.043407,0.84258,NA,NA
1779,"GtCO2e",0.032112886820753,0.043953,0.84816,NA,NA
1780,"GtCO2e",0.032112896264593,0.044226,0.85374,NA,NA
1781,"GtCO2e",0.032112905708433,0.044772,0.85653,NA,NA
